"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0220Ra_20111005_0734","20111005_0734","RuBsAdDlb3Mxtshcn20210211",972.96,1126.28,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20111005_0734_cnt.png"
"RC0220Ra_20111005_0934","20111005_0934","RuBsAdDlb3Mxtshcn20210211",891.41,1049.63,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20111005_0934_cnt.png"
"RC0220Ra_20111005_1134","20111005_1134","RuBsAdDlb3Mxtshcn20210211",916.69,1081.43,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20111005_1134_cnt.png"
"RC0220Ra_20111005_1334","20111005_1334","RuBsAdDlb3Mxtshcn20210211",826.98,976.23,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20111005_1334_cnt.png"
"RC0220Ra_20111005_1534","20111005_1534","RuBsAdDlb3Mxtshcn20210211",871.84,1024.35,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20111005_1534_cnt.png"
"RC0220Ra_20121003_0716","20121003_0716","RuBsAdDlb3Mxtshcn20210211",1496.55,1727.35,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121003_0716_cnt.png"
"RC0220Ra_20121003_0916","20121003_0916","RuBsAdDlb3Mxtshcn20210211",1416.61,1566.67,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121003_0916_cnt.png"
"RC0220Ra_20121003_1116","20121003_1116","RuBsAdDlb3Mxtshcn20210211",1466.38,1685.75,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121003_1116_cnt.png"
"RC0220Ra_20121003_1316","20121003_1316","RuBsAdDlb3Mxtshcn20210211",1421.51,1560.98,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121003_1316_cnt.png"
"RC0220Ra_20121003_1516","20121003_1516","RuBsAdDlb3Mxtshcn20210211",1347.28,1450.84,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121003_1516_cnt.png"
"RC0220Ra_20121004_0716","20121004_0716","RuBsAdDlb3Mxtshcn20210211",1538.12,1743.64,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121004_0716_cnt.png"
"RC0220Ra_20121004_0916","20121004_0916","RuBsAdDlb3Mxtshcn20210211",1398.67,1512.03,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121004_0916_cnt.png"
"RC0220Ra_20121004_1116","20121004_1116","RuBsAdDlb3Mxtshcn20210211",1532.44,1716.75,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121004_1116_cnt.png"
"RC0220Ra_20121004_1316","20121004_1316","RuBsAdDlb3Mxtshcn20210211",1492.46,1641.71,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121004_1316_cnt.png"
"RC0220Ra_20121004_1516","20121004_1516","RuBsAdDlb3Mxtshcn20210211",1401.92,1508.76,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121004_1516_cnt.png"
"RC0220Ra_20121004_1618","20121004_1618","RuBsAdDlb3Mxtshcn20210211",1573.19,1782.78,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20121004_1618_cnt.png"
"RC0220Ra_20130216_0952","20130216_0952","RuBsAdDlb3Mxtshcn20210211",1657.19,1830.91,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130216_0952_cnt.png"
"RC0220Ra_20130217_1552","20130217_1552","RuBsAdDlb3Mxtshcn20210211",1605.82,2608.14,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130217_1552_cnt.png"
"RC0220Ra_20130218_1352","20130218_1352","RuBsAdDlb3Mxtshcn20210211",1419.87,2081.28,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130218_1352_cnt.png"
"RC0220Ra_20130219_1352","20130219_1352","RuBsAdDlb3Mxtshcn20210211",1383.99,2118.8,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130219_1352_cnt.png"
"RC0220Ra_20130220_0952","20130220_0952","RuBsAdDlb3Mxtshcn20210211",1821.12,2691.3,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130220_0952_cnt.png"
"RC0220Ra_20130220_1152","20130220_1152","RuBsAdDlb3Mxtshcn20210211",1786.06,2648.9,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130220_1152_cnt.png"
"RC0220Ra_20130220_1552","20130220_1552","RuBsAdDlb3Mxtshcn20210211",1222.52,2059.26,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130220_1552_cnt.png"
"RC0220Ra_20130221_0952","20130221_0952","RuBsAdDlb3Mxtshcn20210211",1781.98,2671.74,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130221_0952_cnt.png"
"RC0220Ra_20130221_1552","20130221_1552","RuBsAdDlb3Mxtshcn20210211",1192.33,1946.71,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130221_1552_cnt.png"
"RC0220Ra_20130222_1152","20130222_1152","RuBsAdDlb3Mxtshcn20210211",1872.5,2250.11,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130222_1152_cnt.png"
"RC0220Ra_20130223_0952","20130223_0952","RuBsAdDlb3Mxtshcn20210211",1832.54,2738.62,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130223_0952_cnt.png"
"RC0220Ra_20130223_1152","20130223_1152","RuBsAdDlb3Mxtshcn20210211",1886.37,2301.48,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130223_1152_cnt.png"
"RC0220Ra_20130223_1552","20130223_1552","RuBsAdDlb3Mxtshcn20210211",1404.38,2311.26,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130223_1552_cnt.png"
"RC0220Ra_20130224_0752","20130224_0752","RuBsAdDlb3Mxtshcn20210211",1686.55,2590.17,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130224_0752_cnt.png"
"RC0220Ra_20130224_1352","20130224_1352","RuBsAdDlb3Mxtshcn20210211",1654.76,2507.01,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130224_1352_cnt.png"
