"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0307Rf_20110821_0952","20110821_0952","RuBsAdDlb3Mxtshcn20210211",410.14,435.67,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110821_0952_cnt.png"
"RC0307Rf_20110821_1152","20110821_1152","RuBsAdDlb3Mxtshcn20210211",371.87,402.86,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110821_1152_cnt.png"
"RC0307Rf_20110821_1352","20110821_1352","RuBsAdDlb3Mxtshcn20210211",364.56,384.62,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110821_1352_cnt.png"
"RC0307Rf_20110822_0752","20110822_0752","RuBsAdDlb3Mxtshcn20210211",397.38,401.03,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110822_0752_cnt.png"
"RC0307Rf_20110822_0952","20110822_0952","RuBsAdDlb3Mxtshcn20210211",399.21,433.85,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110822_0952_cnt.png"
"RC0307Rf_20110822_1152","20110822_1152","RuBsAdDlb3Mxtshcn20210211",391.93,453.91,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110822_1152_cnt.png"
"RC0307Rf_20110822_1352","20110822_1352","RuBsAdDlb3Mxtshcn20210211",349.99,370.04,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110822_1352_cnt.png"
"RC0307Rf_20110823_0752","20110823_0752","RuBsAdDlb3Mxtshcn20210211",384.62,386.44,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110823_0752_cnt.png"
"RC0307Rf_20110823_1152","20110823_1152","RuBsAdDlb3Mxtshcn20210211",368.22,401.03,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110823_1152_cnt.png"
"RC0307Rf_20110823_1352","20110823_1352","RuBsAdDlb3Mxtshcn20210211",339.05,370.04,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110823_1352_cnt.png"
