"","sitecode","year","month","surveyid","qcfs","elev","scaled_elev","ar","scaled_ar","ar8k","vol","vol8k"
"1","0030R",2017,10,"1684",8000,855.474,0,3342.52000000002,1,3342.52000000002,4291.4107387492,4291.4107387492
"2","0030R",2017,10,"1684",9000,855.683,0.0435507397374343,3003.32999999984,0.898176630254755,3342.52000000002,3890.28938828083,4291.4107387492
"3","0030R",2017,10,"1684",10000,855.888,0.0862679724942674,2772.22124999994,0.828798783907314,3342.52000000002,3530.94221749925,4291.4107387492
"4","0030R",2017,10,"1684",11000,856.089,0.128151698270475,2592.17812499998,0.774750617136621,3342.52000000002,3198.38046859275,4291.4107387492
"5","0030R",2017,10,"1684",12000,856.286,0.169201917066035,2427.995,0.725463553712599,3342.52000000002,2888.96130374935,4291.4107387492
"6","0030R",2017,10,"1684",13000,856.479,0.209418628881017,2260.82125000004,0.675278717609129,3342.52000000002,2603.58350968687,4291.4107387492
"7","0030R",2017,10,"1684",14000,856.669,0.2490102104605,2077.21187500004,0.620159978025685,3342.52000000002,2344.49117749929,4291.4107387492
"8","0030R",2017,10,"1684",15000,856.854,0.287559908314233,1893.54749999999,0.565024727680304,3342.52000000002,2115.54622687446,4291.4107387492
"9","0030R",2017,10,"1684",16000,857.036,0.325484475932466,1691.28125000012,0.504305274982081,3342.52000000002,1918.96771343704,4291.4107387492
"10","0030R",2017,10,"1684",17000,857.215,0.362783913315273,1608.53125,0.479464083182717,3342.52000000002,1741.87585781177,4291.4107387492
"11","0030R",2017,10,"1684",18000,857.389,0.39904146697228,1546.10875000001,0.460725118891559,3342.52000000002,1574.94883781171,4291.4107387492
"12","0030R",2017,10,"1684",19000,857.56,0.434673890393813,1487.18125000002,0.443035338471562,3342.52000000002,1415.63619843707,4291.4107387492
"13","0030R",2017,10,"1684",20000,857.727,0.469472806834745,1428.640625,0.425461696251886,3342.52000000002,1264.88667734317,4291.4107387492
"14","0030R",2017,10,"1684",21000,857.89,0.503438216295051,1368.90000000002,0.407527819226674,3342.52000000002,1122.4244531244,4291.4107387492
"15","0030R",2017,10,"1684",22000,858.049,0.536570118774733,1309.52000000002,0.389702200265414,3342.52000000002,987.659460780793,4291.4107387492
"16","0030R",2017,10,"1684",23000,858.205,0.569076891018964,1250.52499999997,0.371992156637586,3342.52000000002,850.009677342954,4291.4107387492
"17","0030R",2017,10,"1684",24000,858.357,0.600750156282546,1191.89624999999,0.354392059674392,3342.52000000002,714.112377499114,4291.4107387492
"18","0030R",2017,10,"1684",25000,858.505,0.631589914565527,1132.71562500001,0.336626292225103,3342.52000000002,585.231610155548,4291.4107387492
"19","0030R",2017,10,"1684",26000,858.649,0.661596165867883,1069.676875,0.317702332351505,3342.52000000002,464.682102499297,4291.4107387492
"20","0030R",2017,10,"1684",27000,858.79,0.690977286934764,1003.32500000001,0.297783786694467,3342.52000000002,352.988965624361,4291.4107387492
"21","0030R",2017,10,"1684",28000,858.926,0.719316524275894,928.20000000007,0.275231586888748,3342.52000000002,252.493799374206,4291.4107387492
"22","0030R",2017,10,"1684",29000,859.059,0.747030631381525,840.209375000093,0.248817182149566,3342.52000000002,161.933605780592,4291.4107387492
"23","0030R",2017,10,"1684",30000,859.189,0.774119608251706,700.235624999972,0.206797668305163,3342.52000000002,85.7247524994309,4291.4107387492
"24","0030R",2017,10,"1684",31000,859.314,0.800166701396111,470.155000000028,0.137728460632253,3342.52000000002,32.4361306246719,4291.4107387492
"25","0030R",2017,10,"1684",32000,859.436,0.825588664305065,215.048750000075,0.0611466686629899,3342.52000000002,8.90385718738253,4291.4107387492
"26","0030R",2017,10,"1684",33000,859.554,0.850177120233371,98.0175000000745,0.026014394007216,3342.52000000002,3.88779187499131,4291.4107387492
"27","0030R",2017,10,"1684",34000,859.668,0.873932069181075,64.5400000000081,0.0159645934215519,3342.52000000002,2.80524374998458,4291.4107387492
"28","0030R",2017,10,"1684",35000,859.778,0.896853511148154,49.4949999999953,0.0114481495469751,3342.52000000002,2.19479624998621,4291.4107387492
"29","0030R",2017,10,"1684",36000,859.885,0.919149822879759,37.9499999999971,0.00798239052192115,3342.52000000002,1.7689718749989,4291.4107387492
"30","0030R",2017,10,"1684",37000,859.987,0.940404250885589,28.6956250000003,0.00520426720641854,3342.52000000002,1.47628499999701,4291.4107387492
"31","0030R",2017,10,"1684",38000,860.086,0.961033548655967,21.9575000000041,0.00318151124880206,3342.52000000002,1.24721187499722,4291.4107387492
"32","0030R",2017,10,"1684",39000,860.182,0.981037716190871,16.1750000000029,0.00144562977956156,3342.52000000002,1.0247187499981,4291.4107387492
"33","0030R",2017,10,"1684",40000,860.273,1,11.359375,0,3342.52000000002,0.800981054683689,4291.4107387492
"34","0030R",2000,3,"1194",8000,855.474,0,3400.24249999993,1,3400.24249999993,2661.99599999469,2661.99599999469
"35","0030R",2000,3,"1194",9000,855.683,0.0435507397374343,3077.9362499998,0.898873745040367,3400.24249999993,2235.3449187451,2661.99599999469
"36","0030R",2000,3,"1194",10000,855.888,0.0862679724942674,2624.22374999989,0.756517690966507,3400.24249999993,1873.91963093332,2661.99599999469
"37","0030R",2000,3,"1194",11000,856.089,0.128151698270475,2182.36124999984,0.617879672522601,3400.24249999993,1598.40564202785,2661.99599999469
"38","0030R",2000,3,"1194",12000,856.286,0.169201917066035,1904.33750000014,0.530647418642043,3400.24249999993,1378.4376799973,2661.99599999469
"39","0030R",2000,3,"1194",13000,856.479,0.209418628881017,1659.52500000002,0.45383546947163,3400.24249999993,1200.72647656023,2661.99599999469
"40","0030R",2000,3,"1194",14000,856.669,0.2490102104605,1450.22437499999,0.388165665156776,3400.24249999993,1054.06931015418,2661.99599999469
"41","0030R",2000,3,"1194",15000,856.854,0.287559908314233,1253.65499999991,0.326490395957047,3400.24249999993,942.318466248515,2661.99599999469
"42","0030R",2000,3,"1194",16000,857.036,0.325484475932466,1107.90625000012,0.280760518697389,3400.24249999993,853.757902811223,2661.99599999469
"43","0030R",2000,3,"1194",17000,857.215,0.362783913315273,945.921875,0.229936579646466,3400.24249999993,784.953072655306,2661.99599999469
"44","0030R",2000,3,"1194",18000,857.389,0.39904146697228,742.776249999995,0.166197957551253,3400.24249999993,742.891573593282,2661.99599999469
"45","0030R",2000,3,"1194",19000,857.56,0.434673890393813,658.300000000047,0.139692834564885,3400.24249999993,722.871595312259,2661.99599999469
"46","0030R",2000,3,"1194",20000,857.727,0.469472806834745,624.845624999987,0.129196247372519,3400.24249999993,706.454743593364,2661.99599999469
"47","0030R",2000,3,"1194",21000,857.89,0.503438216295051,599.125,0.121126188285955,3400.24249999993,690.349778124713,2661.99599999469
"48","0030R",2000,3,"1194",22000,858.049,0.536570118774733,576.716250000012,0.11409525740632,3400.24249999993,672.97471515584,2661.99599999469
"49","0030R",2000,3,"1194",23000,858.205,0.569076891018964,555.831249999988,0.107542415707366,3400.24249999993,644.455722655519,2661.99599999469
"50","0030R",2000,3,"1194",24000,858.357,0.600750156282546,536.913125000006,0.101606697327392,3400.24249999993,609.215587186685,2661.99599999469
"51","0030R",2000,3,"1194",25000,858.505,0.631589914565527,518.446875000009,0.0958127584706455,3400.24249999993,571.918502342916,2661.99599999469
"52","0030R",2000,3,"1194",26000,858.649,0.661596165867883,501.799999999988,0.090589663586409,3400.24249999993,534.464307499147,2661.99599999469
"53","0030R",2000,3,"1194",27000,858.79,0.690977286934764,484.837500000009,0.0852675387447406,3400.24249999993,497.275381249143,2661.99599999469
"54","0030R",2000,3,"1194",28000,858.926,0.719316524275894,468.422499999986,0.0801171965619131,3400.24249999993,461.108667499095,2661.99599999469
"55","0030R",2000,3,"1194",29000,859.059,0.747030631381525,452.319375000006,0.0750647077429899,3400.24249999993,425.429637342866,2661.99599999469
"56","0030R",2000,3,"1194",30000,859.189,0.774119608251706,434.956250000003,0.0696168834899834,3400.24249999993,390.166330311593,2661.99599999469
"57","0030R",2000,3,"1194",31000,859.314,0.800166701396111,416.465000000026,0.063815100676218,3400.24249999993,356.082164374093,2661.99599999469
"58","0030R",2000,3,"1194",32000,859.436,0.825588664305065,396.48874999999,0.0575473868151304,3400.24249999993,322.564816561557,2661.99599999469
"59","0030R",2000,3,"1194",33000,859.554,0.850177120233371,376.25,0.0511973114052917,3400.24249999993,288.457300623995,2661.99599999469
"60","0030R",2000,3,"1194",34000,859.668,0.873932069181075,353.410000000003,0.0440310722669671,3400.24249999993,254.148012498918,2661.99599999469
"61","0030R",2000,3,"1194",35000,859.778,0.896853511148154,330.704999999987,0.0369071904965729,3400.24249999993,221.761821873952,2661.99599999469
"62","0030R",2000,3,"1194",36000,859.885,0.919149822879759,308.303125000006,0.0298784167051215,3400.24249999993,191.654910155252,2661.99599999469
"63","0030R",2000,3,"1194",37000,859.987,0.940404250885589,286.458125000005,0.0230243670564029,3400.24249999993,164.34485640534,2661.99599999469
"64","0030R",2000,3,"1194",38000,860.086,0.961033548655967,264.280000000028,0.0160657966803295,3400.24249999993,139.345511874126,2661.99599999469
