"","sitecode","year","month","surveyid","qcfs","elev","scaled_elev","ar","scaled_ar","ar8k","vol","vol8k"
"1","0122R",1995,5,"1265",8000,609.51,0,3713.5,1,3713.5,2186.02385937399,2186.02385937399
"2","0122R",1995,5,"1265",9000,609.687,0.0441726977788915,3576.45124999998,0.963125344859748,3713.5,2111.62203234315,2186.02385937399
"3","0122R",1995,5,"1265",10000,609.862,0.0878462690291914,3468.9375,0.934197445451076,3713.5,2035.24157499906,2186.02385937399
"4","0122R",1995,5,"1265",11000,610.033,0.130521587222365,3373.48937499995,0.908515951142225,3713.5,1945.83335765509,2186.02385937399
"5","0122R",1995,5,"1265",12000,610.2,0.172198652358384,3245.98749999999,0.874210000373915,3713.5,1849.44998749869,2186.02385937399
"6","0122R",1995,5,"1265",13000,610.364,0.213127027701529,3114.00249999994,0.838697809575479,3713.5,1751.23041624849,2186.02385937399
"7","0122R",1995,5,"1265",14000,610.525,0.253306713251802,2971.89687500009,0.800462539896924,3713.5,1650.58608827955,2186.02385937399
"8","0122R",1995,5,"1265",15000,610.682,0.292488145744948,2769.7975000001,0.746085212433636,3713.5,1548.64799687348,2186.02385937399
"9","0122R",1995,5,"1265",16000,610.836,0.330920888445221,2564.88624999986,0.690951315348724,3713.5,1439.87510124827,2186.02385937399
"10","0122R",1995,5,"1265",17000,610.987,0.368604941352621,2445.66437499999,0.65887320062098,3713.5,1318.7236073417,2186.02385937399
"11","0122R",1995,5,"1265",18000,611.134,0.405290741202895,2378.1825,0.640716370523352,3713.5,1187.46403999766,2186.02385937399
"12","0122R",1995,5,"1265",19000,611.278,0.441227851260295,2313.65249999997,0.623353778772598,3713.5,1041.69614499714,2186.02385937399
"13","0122R",1995,5,"1265",20000,611.419,0.476416271524822,2238.54312500003,0.603144675800682,3713.5,877.171194527997,2186.02385937399
"14","0122R",1995,5,"1265",21000,611.556,0.510606438732223,2123.6399999999,0.572228573983507,3713.5,710.8026756217,2186.02385937399
"15","0122R",1995,5,"1265",22000,611.689,0.543798352882441,1990.65250000008,0.536446648205587,3713.5,556.815678903367,2186.02385937399
"16","0122R",1995,5,"1265",23000,611.82,0.576491140504124,1747.93124999967,0.471139504660134,3713.5,420.319426559843,2186.02385937399
"17","0122R",1995,5,"1265",24000,611.947,0.608185675068623,1388.47624999983,0.374423707081302,3713.5,327.166689685837,2186.02385937399
"18","0122R",1995,5,"1265",25000,612.07,0.638881956575997,1142.26249999995,0.308176863370341,3713.5,265.11304999885,2186.02385937399
"19","0122R",1995,5,"1265",26000,612.19,0.668829548290497,976.587499999907,0.263599962885205,3713.5,222.512087499199,2186.02385937399
"20","0122R",1995,5,"1265",27000,612.307,0.698028450212124,850.233124999912,0.229602761133373,3713.5,191.991194374394,2186.02385937399
"21","0122R",1995,5,"1265",28000,612.42,0.726229099076597,751.84375,0.203129887264869,3713.5,170.261256249432,2186.02385937399
"22","0122R",1995,5,"1265",29000,612.53,0.753681058148224,677.3125,0.183076335948847,3713.5,151.627721874582,2186.02385937399
"23","0122R",1995,5,"1265",30000,612.637,0.780384327426979,602.353750000068,0.162907760489447,3713.5,132.978257499475,2186.02385937399
"24","0122R",1995,5,"1265",31000,612.74,0.806089343648607,523.262500000012,0.14162728497717,3713.5,113.20457656194,2186.02385937399
"25","0122R",1995,5,"1265",32000,612.84,0.831045670077362,449.749999999942,0.121847840903437,3713.5,91.8387609368074,2186.02385937399
"26","0122R",1995,5,"1265",33000,612.937,0.855253306713244,378.088124999951,0.10256633029259,3713.5,67.0091231241822,2186.02385937399
"27","0122R",1995,5,"1265",34000,613.03,0.878462690291971,293.537499999977,0.0798169426566839,3713.5,39.9529624991701,2186.02385937399
"28","0122R",1995,5,"1265",35000,613.119,0.900673820813572,184.589374999981,0.0505031069773989,3713.5,18.4778668744548,2186.02385937399
"29","0122R",1995,5,"1265",36000,613.206,0.922385824806581,77.3074999999953,0.0216375963950431,3713.5,8.20332999977109,2186.02385937399
"30","0122R",1995,5,"1265",37000,613.289,0.943099575742435,41.0218750000058,0.0118745018142975,3713.5,3.45321093736857,2186.02385937399
"31","0122R",1995,5,"1265",38000,613.368,0.962815073621163,19.383749999979,0.0060524976204792,3713.5,1.27015664056307,2186.02385937399
"32","0122R",1995,5,"1265",39000,613.444,0.98178188170699,6.81750000000466,0.00267139319482634,3713.5,0.350011279276714,2186.02385937399
"33","0122R",1995,5,"1265",40000,613.517,1,-3.11102941178251,0,3713.5,-2.50132213995676,2186.02385937399
"34","0122R",2017,10,"1708",8000,609.51,0,4570.4375,1,4570.4375,5235.08018749976,5235.08018749976
"35","0122R",2017,10,"1708",9000,609.687,0.0441726977788915,4247.38000000012,0.922738215564494,4570.4375,5028.92038546863,5235.08018749976
"36","0122R",2017,10,"1708",10000,609.862,0.0878462690291914,4029.97750000004,0.87074466924301,4570.4375,4847.4899406248,5235.08018749976
"37","0122R",2017,10,"1708",11000,610.033,0.130521587222365,3866.12249999994,0.831557435735996,4570.4375,4670.30492921872,5235.08018749976
"38","0122R",2017,10,"1708",12000,610.2,0.172198652358384,3749.41875000001,0.803646800708755,4570.4375,4493.09979374986,5235.08018749976
"39","0122R",2017,10,"1708",13000,610.364,0.213127027701529,3631.39999999997,0.775421672916165,4570.4375,4312.58352437441,5235.08018749976
"40","0122R",2017,10,"1708",14000,610.525,0.253306713251802,3366.83437500009,0.712148688113792,4570.4375,4136.46777890564,5235.08018749976
"41","0122R",2017,10,"1708",15000,610.682,0.292488145744948,2975.36749999993,0.618526254615375,4570.4375,3993.50941624958,5235.08018749976
"42","0122R",2017,10,"1708",16000,610.836,0.330920888445221,2803.45374999999,0.577411706604571,4570.4375,3853.47332906222,5235.08018749976
"43","0122R",2017,10,"1708",17000,610.987,0.368604941352621,2760.06625000003,0.567035239033958,4570.4375,3690.8077487495,5235.08018749976
"44","0122R",2017,10,"1708",18000,611.134,0.405290741202895,2724.41250000001,0.558508359618311,4570.4375,3512.05091562448,5235.08018749976
"45","0122R",2017,10,"1708",19000,611.278,0.441227851260295,2690.44249999998,0.550384162479172,4570.4375,3315.18938312423,5235.08018749976
"46","0122R",2017,10,"1708",20000,611.419,0.476416271524822,2656.98874999999,0.542383430655706,4570.4375,3095.93787374906,5235.08018749976
"47","0122R",2017,10,"1708",21000,611.556,0.510606438732223,2622.2225,0.534068803961911,4570.4375,2867.51874749898,5235.08018749976
"48","0122R",2017,10,"1708",22000,611.689,0.543798352882441,2587.16687500002,0.525684970922897,4570.4375,2641.76421140519,5235.08018749976
"49","0122R",2017,10,"1708",23000,611.82,0.576491140504124,2552.54999999996,0.517406068454801,4570.4375,2416.63016406121,5235.08018749976
"50","0122R",2017,10,"1708",24000,611.947,0.608185675068623,2512.20999999999,0.507758434878342,4570.4375,2196.11544609256,5235.08018749976
"51","0122R",2017,10,"1708",25000,612.07,0.638881956575997,2464.71249999997,0.496399027942335,4570.4375,1982.15418749885,5235.08018749976
"52","0122R",2017,10,"1708",26000,612.19,0.668829548290497,2410.66249999998,0.483472538234652,4570.4375,1774.01629999885,5235.08018749976
"53","0122R",2017,10,"1708",27000,612.307,0.698028450212124,2331.53312499996,0.464548115449947,4570.4375,1572.66669437359,5235.08018749976
"54","0122R",2017,10,"1708",28000,612.42,0.726229099076597,2233.40625,0.44108028862785,4570.4375,1382.89875624864,5235.08018749976
"55","0122R",2017,10,"1708",29000,612.53,0.753681058148224,2130.87500000012,0.416559120305193,4570.4375,1202.62959687377,5235.08018749976
"56","0122R",2017,10,"1708",30000,612.637,0.780384327426979,1948.8662500002,0.373030272320314,4570.4375,1033.58906999882,5235.08018749976
"57","0122R",2017,10,"1708",31000,612.74,0.806089343648607,1694.00625000009,0.312078465347102,4570.4375,885.364639061387,5235.08018749976
"58","0122R",2017,10,"1708",32000,612.84,0.831045670077362,1518.53124999988,0.270112215921407,4570.4375,752.504698436242,5235.08018749976
"59","0122R",2017,10,"1708",33000,612.937,0.855253306713244,1404.666875,0.242880640130323,4570.4375,626.37077312381,5235.08018749976
"60","0122R",2017,10,"1708",34000,613.03,0.878462690291971,1308.03750000009,0.219770952407911,4570.4375,504.556712499005,5235.08018749976
"61","0122R",2017,10,"1708",35000,613.119,0.900673820813572,1216.55249999999,0.197891583103398,4570.4375,392.208876248915,5235.08018749976
"62","0122R",2017,10,"1708",36000,613.206,0.922385824806581,1106.49750000006,0.171571049804998,4570.4375,290.678679998964,5235.08018749976
"63","0122R",2017,10,"1708",37000,613.289,0.943099575742435,995.478750000009,0.145020027987501,4570.4375,204.194274999085,5235.08018749976
"64","0122R",2017,10,"1708",38000,613.368,0.962815073621163,849.971249999711,0.110220745820157,4570.4375,131.477037499077,5235.08018749976
"65","0122R",2017,10,"1708",39000,613.444,0.98178188170699,643.04625000013,0.060732977406514,4570.4375,75.0801624992746,5235.08018749976
"66","0122R",2017,10,"1708",40000,613.517,1,389.101249999832,0,4570.4375,35.3282687496103,5235.08018749976
"67","0122R",2000,3,"1237",8000,609.51,0,4822.9375,1,4822.9375,3403.20324999699,3403.20324999699
"68","0122R",2000,3,"1237",9000,609.687,0.0441726977788915,4573.83062500006,0.947843295517638,4822.9375,3127.63400421571,3403.20324999699
"69","0122R",2000,3,"1237",10000,609.862,0.0878462690291914,4280.67999999993,0.886464939272131,4822.9375,2879.8694156222,3403.20324999699
"70","0122R",2000,3,"1237",11000,610.033,0.130521587222365,4039.02999999991,0.835869516571867,4822.9375,2652.46804171591,3403.20324999699
"71","0122R",2000,3,"1237",12000,610.2,0.172198652358384,3856.24375000002,0.797598680310581,4822.9375,2437.27316874743,3403.20324999699
"72","0122R",2000,3,"1237",13000,610.364,0.213127027701529,3652.05624999991,0.754846961408801,4822.9375,2232.56933687197,3403.20324999699
"73","0122R",2000,3,"1237",14000,610.525,0.253306713251802,3413.15312499995,0.704826665138221,4822.9375,2040.18059140386,3403.20324999699
"74","0122R",2000,3,"1237",15000,610.682,0.292488145744948,3150.75250000006,0.649886584282926,4822.9375,1863.91481624742,3403.20324999699
"75","0122R",2000,3,"1237",16000,610.836,0.330920888445221,2801.34374999977,0.576729193836271,4822.9375,1693.68583874742,3403.20324999699
"76","0122R",2000,3,"1237",17000,610.987,0.368604941352621,2362.84062499995,0.484917685602253,4822.9375,1547.49562656065,3403.20324999699
"77","0122R",2000,3,"1237",18000,611.134,0.405290741202895,2091.34000000008,0.428072293981094,4822.9375,1434.77023874846,3403.20324999699
"78","0122R",2000,3,"1237",19000,611.278,0.441227851260295,1970.39499999996,0.402749457653805,4822.9375,1324.00661312311,3403.20324999699
"79","0122R",2000,3,"1237",20000,611.419,0.476416271524822,1869.486875,0.381621838211374,4822.9375,1198.83537843509,3403.20324999699
"80","0122R",2000,3,"1237",21000,611.556,0.510606438732223,1742.49124999996,0.355032153427759,4822.9375,1073.01826312288,3403.20324999699
"81","0122R",2000,3,"1237",22000,611.689,0.543798352882441,1595.69062500016,0.324295800543309,4822.9375,960.188739529345,3403.20324999699
"82","0122R",2000,3,"1237",23000,611.82,0.576491140504124,1491.64374999999,0.302511005917715,4822.9375,858.96787656052,3403.20324999699
"83","0122R",2000,3,"1237",24000,611.947,0.608185675068623,1421.90812500002,0.287910122722431,4822.9375,764.630824216933,3403.20324999699
"84","0122R",2000,3,"1237",25000,612.07,0.638881956575997,1341.97499999998,0.271174139907907,4822.9375,676.326646873145,3403.20324999699
"85","0122R",2000,3,"1237",26000,612.19,0.668829548290497,1235.92499999993,0.248969941367187,4822.9375,595.552034373337,3403.20324999699
"86","0122R",2000,3,"1237",27000,612.307,0.698028450212124,1113.19874999986,0.223274156160603,4822.9375,524.504147498403,3403.20324999699
"87","0122R",2000,3,"1237",28000,612.42,0.726229099076597,1005.98125000001,0.200825512529907,4822.9375,463.702615623653,3403.20324999699
"88","0122R",2000,3,"1237",29000,612.53,0.753681058148224,933.275000000023,0.185602655291338,4822.9375,407.887706248672,3403.20324999699
"89","0122R",2000,3,"1237",30000,612.637,0.780384327426979,864.277500000084,0.171156316877276,4822.9375,352.536754373577,3403.20324999699
"90","0122R",2000,3,"1237",31000,612.74,0.806089343648607,797.931250000023,0.157265083426706,4822.9375,296.56063124846,3403.20324999699
"91","0122R",2000,3,"1237",32000,612.84,0.831045670077362,731.037499999919,0.143259217267961,4822.9375,239.152117185818,3403.20324999699
"92","0122R",2000,3,"1237",33000,612.937,0.855253306713244,653.542499999981,0.127033716410715,4822.9375,181.253411873302,3403.20324999699
"93","0122R",2000,3,"1237",34000,613.03,0.878462690291971,555.050000000047,0.106411867992333,4822.9375,126.842187498405,3403.20324999699
"94","0122R",2000,3,"1237",35000,613.119,0.900673820813572,442.061250000028,0.0827548699926435,4822.9375,81.9798562487122,3403.20324999699
"95","0122R",2000,3,"1237",36000,613.206,0.922385824806581,307.320000000065,0.0545434464507047,4822.9375,48.8942999991123,3403.20324999699
"96","0122R",2000,3,"1237",37000,613.289,0.943099575742435,199.807499999995,0.0320330372511797,4822.9375,28.7251749994175,3403.20324999699
"97","0122R",2000,3,"1237",38000,613.368,0.962815073621163,124.662499999919,0.0162995671960797,4822.9375,16.4120937496336,3403.20324999699
"98","0122R",2000,3,"1237",39000,613.444,0.98178188170699,75.7675000000163,0.00606218588871679,4822.9375,8.88019999977405,3403.20324999699
"99","0122R",2000,3,"1237",40000,613.517,1,46.8137500000012,0,4822.9375,4.34691914048381,3403.20324999699
"100","0122R",2000,6,"1238",8000,609.51,0,5035.0625,1,5035.0625,3803.47873437451,3803.47873437451
"101","0122R",2000,6,"1238",9000,609.687,0.0441726977788915,4903.71750000003,0.973480245778938,5035.0625,3495.41955734324,3803.47873437451
"102","0122R",2000,6,"1238",10000,609.862,0.0878462690291914,4699.54749999999,0.932256459419986,5035.0625,3195.43172499933,3803.47873437451
"103","0122R",2000,6,"1238",11000,610.033,0.130521587222365,4472.49687499995,0.886412866053352,5035.0625,2908.71941984317,3803.47873437451
"104","0122R",2000,6,"1238",12000,610.2,0.172198652358384,4254.97499999998,0.842493214275932,5035.0625,2637.79696562444,3803.47873437451
"105","0122R",2000,6,"1238",13000,610.364,0.213127027701529,4010.35249999992,0.793101698976951,5035.0625,2384.55323374912,3803.47873437451
"106","0122R",2000,6,"1238",14000,610.525,0.253306713251802,3757.03437500005,0.741954457629825,5035.0625,2149.88851328031,3803.47873437451
