"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC1459L_20110101_0746","20110101_0746","RuBsAdDlb3Mxtshcn20210211",696.39,854.66,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110101_0746_cnt.png"
"RC1459L_20110101_1546","20110101_1546","RuBsAdDlb3Mxtshcn20210211",569.13,709.3,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110101_1546_cnt.png"
"RC1459L_20110102_0746","20110102_0746","RuBsAdDlb3Mxtshcn20210211",667.96,828.17,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110102_0746_cnt.png"
"RC1459L_20110102_0945","20110102_0945","RuBsAdDlb3Mxtshcn20210211",801.05,977.4,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110102_0945_cnt.png"
"RC1459L_20110102_1145","20110102_1145","RuBsAdDlb3Mxtshcn20210211",784.88,892.76,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110102_1145_cnt.png"
"RC1459L_20110102_1345","20110102_1345","RuBsAdDlb3Mxtshcn20210211",719.63,851.41,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110102_1345_cnt.png"
"RC1459L_20110102_1545","20110102_1545","RuBsAdDlb3Mxtshcn20210211",600.16,762.95,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110102_1545_cnt.png"
"RC1459L_20110103_0745","20110103_0745","RuBsAdDlb3Mxtshcn20210211",775.2,973.49,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110103_0745_cnt.png"
"RC1459L_20110103_0945","20110103_0945","RuBsAdDlb3Mxtshcn20210211",814.6,1007.1,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110103_0945_cnt.png"
"RC1459L_20110103_1145","20110103_1145","RuBsAdDlb3Mxtshcn20210211",775.84,888.91,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110103_1145_cnt.png"
