"","sitecode","year","month","surveyid","qcfs","elev","scaled_elev","ar","scaled_ar","ar8k","vol","vol8k"
"1","0145L",2016,10,"1664",8000,541.616,0,935.75,1,935.75,739.967593124988,739.967593124988
"2","0145L",2016,10,"1664",9000,541.818,0.0423036649214658,910.4375,0.972113814196754,935.75,716.125474375011,739.967593124988
"3","0145L",2016,10,"1664",10000,542.016,0.083769633507849,881.690000000002,0.94044336969784,935.75,691.07594499996,739.967593124988
"4","0145L",2016,10,"1664",11000,542.211,0.124607329842938,852.748124999998,0.908558786833862,935.75,666.431075937449,739.967593124988
"5","0145L",2016,10,"1664",12000,542.402,0.164607329842945,824.843749999985,0.877817193313909,935.75,642.18177593741,739.967593124988
"6","0145L",2016,10,"1664",13000,542.59,0.203979057591634,798.543749999997,0.84884310199045,935.75,616.977631249974,739.967593124988
"7","0145L",2016,10,"1664",14000,542.775,0.242722513089005,768.487500000017,0.815730838403359,935.75,590.208074999959,739.967593124988
"8","0145L",2016,10,"1664",15000,542.956,0.280628272251317,739.344999999987,0.783625231696318,935.75,561.902948749936,739.967593124988
"9","0145L",2016,10,"1664",16000,543.134,0.317905759162311,707.912500000006,0.748996785858886,935.75,532.190122812433,739.967593124988
"10","0145L",2016,10,"1664",17000,543.309,0.354554973821988,672.782500000016,0.710294891250777,935.75,502.688245781173,739.967593124988
"11","0145L",2016,10,"1664",18000,543.48,0.390366492146606,641.024999999994,0.675308400558542,935.75,474.227062499907,739.967593124988
"12","0145L",2016,10,"1664",19000,543.648,0.425549738219905,612.267500000002,0.643626939294873,935.75,444.935162499925,739.967593124988
"13","0145L",2016,10,"1664",20000,543.812,0.459895287958123,587.032500000016,0.615826133418546,935.75,414.071949374862,739.967593124988
"14","0145L",2016,10,"1664",21000,543.973,0.493612565445022,564.955000000002,0.591503871015719,935.75,380.682769687352,739.967593124988
"15","0145L",2016,10,"1664",22000,544.131,0.526701570680628,543.85437500001,0.568257808820582,935.75,347.20574374983,739.967593124988
"16","0145L",2016,10,"1664",23000,544.285,0.558952879581151,523.584375000006,0.545926826648457,935.75,313.871733593594,739.967593124988
"17","0145L",2016,10,"1664",24000,544.436,0.59057591623038,502.919999999984,0.52316137081602,935.75,278.887439374783,739.967593124988
"18","0145L",2016,10,"1664",25000,544.583,0.621361256544502,482.904375000013,0.501110627597559,935.75,242.88492453107,739.967593124988
"19","0145L",2016,10,"1664",26000,544.727,0.651518324607331,461.420625000013,0.477442485602478,935.75,207.307916718564,739.967593124988
