site_code_5,site_name_7,camera,begin_date,end_date,river_mile
0034L,RC0034L,RC0034L,20080203,NA,3.4
0081L,RC0081L,RC0081La,20120218,NA,8.1
0089L,RC0089L,RC0089L,20121004,NA,8.9
0166L,RC0166L,RC0166L,20140503,NA,16.6
0220R,RC0220R,RC0220Ra,20041205,NA,22
0236L,RC0235L,RC0235L,20130217,NA,23.6
0307R,RC0307R,RC0307Rf,20091012,NA,30.7
0333L,RC0333L,RC0333L,20130923,NA,33.3
0414R,RC0414R,RC0414R,20020924,NA,41.4
0434L,RC0434L,RC0434L,19950223,NA,43.4
0445L,RC0445L,RC0445L,19941123,NA,44.5
0450L,RC0450L,RC0450L,20080302,NA,45
0476R,RC0476R,RC0476Rb,20110222,NA,47.6
0501R,RC0501R,RC0501R,19960111,NA,50.1
0515L,RC0515L,RC0515L,20080206,NA,51.5
0566R,RC0566R,RC0566R,20130926,NA,56.6
0629R,RC0629R,RC0629R,20130224,NA,62.9
0651R,RC0651R,RC0651R,20121009,NA,65.1
0688R,RC0688R,RC0688R,19941125,NA,68.8
0701R,RC0701R,RC0701R,20080210,NA,70.1
0817L,RC0817L,RC0817L,19941126,NA,81.7
0846R,RC0846R,RC0846R,20130929,NA,84.6
0876L,RC0876L,RC0876L,19960112,NA,87.6
0917R,RC0917R,RC0917R,19960112,NA,91.7
0938L,RC0938L,RC0938L,20120226,NA,93.8
1044R,RC1044R,RC1044R,19960112,NA,104.4
1194R,RC1194R,RC1194R,19941128,NA,119.4
1227R,RC1227R,RC1227R,19960113,NA,122.7
1233L,RC1233L,RC1233Lb,20000816,NA,123.3
1377L,RC1377L,RC1377L,19941129,NA,137.7
1396R,RC1396R,RC1396R,19960114,NA,139.6
1459L,RC1459L,RC1459L,19941130,NA,145.9
1726L,RC1726L,RC1726Lb,20100301,NA,172.6
1833R,RC1833R,RC1833R,19960229,NA,183.3
1946L,RC1946L,RC1946L,19960115,NA,194.6
2023R,RC2023R,RC2023R,19960117,NA,202.3
2133L,RC2133L,RC2133L,19960116,NA,213.3
2201R,RC2201R,RC2201R,20131006,NA,220.1
2255R,RC2255R,RC2255Ra,19960329,NA,225.5
